json_name,label,#OH,G_corr,A,B,C
anti-o-o.json,O-O(anti),0,0,-0.512991583256439,0.7798114189274047,-286.380524233358
anti-oh-o.json,OH-O(adj),1,0,-0.474403700041583,0.2900842626014540,-292.080489602546
anti-oh-oh.json,OH-OH(anti),2,0,-0.559510132051507,0.4931725265118078,-297.292789623116
nh.json,H(@N),0,0,0,0,0
mh.json,H(@M),0,0,0,0,0
o.json,O,0,0,-0.403837006134141,0.2916884347090441,-283.152663749453
oh.json,OH,1,0,-0.446720643964474,0.0405910254147341,-288.114681683587
adj-oh-oh.json,OH-OH(adj),2,0,-0.527774845698660,0.3966606929621789,-297.153424398906
clean.json,clean,0,0,-0.508827983211593,-0.3089382644866646,-277.166593140389
adj-oh-o.json,OH-O(adj),1,0,-0.474403700041583,0.2900842626014540,-292.080489602546
vac.json,vac,0,0,-0.365540566813569,0.4555207378848713,-269.645443005364
vac-h2.json,vac-H2,0,0,-0.431022008550121,-0.1881364731580595,-279.277419248517