Metal,row,numb,dH_form,Coordination,Nickname,etc.
Ca,3d,0,-144.4,RS,Lime,kk
Sc,3d,1,kk,kk,kk,kk
Ti,3d,2,-116.92,RS,kk,kk
V,3d,3,kk,kk,kk,kk
Cr,3d,4,-83.81,RS,kk,hydroxide
Mn,3d,5,-86.8,RS,Manganosite,kk
Fe,3d,6,-58.88,RS,Wustite,hydroxide
Co,3d,7,-49,RS,kk,kk
Ni,3d,8,-51.3,RS,kk,kk
Cu,3d,9,-28.61,TN,Tenorite,kk
Zn,3d,10,-76.876,WZ,kk,kk
Ga,3d,11,kk,kk,kk,kk
Ge,3d,12,-69.9,kk,kk,hydroxide
Sr,4d,0,-133.8,RS,Strontia,kk
Y,4d,1,kk,kk,kk,kk
Zr,4d,2,kk,kk,kk,kk
Nb,4d,3,-90.5,NB,kk,kk
Mo,4d,4,kk,kk,kk,kk
Tc,4d,5,kk,kk,kk,kk
Ru,4d,6,kk,kk,kk,kk
Rh,4d,7,-18,,kk,kk
Pd,4d,8,-14.4,PD,kk,kk
Ag,4d,9,2.6,PD,kk,kk
Cd,4d,10,-53.79,RS,kk,kk
In,4d,11,kk,kk,kk,kk
Sn,4d,12,-61.5,LT,kk,kk
Ba,5d,0,-126.3,RS,kk,kk
La,5d,1,kk,kk,kk,kk
Hf,5d,2,kk,kk,kk,kk
Ta,5d,3,kk,kk,kk,kk
W,5d,4,kk,kk,kk,kk
Re,5d,5,kk,kk,kk,kk
Os,5d,6,kk,kk,kk,kk
Ir,5d,7,kk,kk,kk,kk
Pt,5d,8,-11.51,PD,kk,kk
Au,5d,9,39,AU,kk,kk
Hg,5d,10,-13.99,kk,kk,kk
Tl,5d,11,kk,kk,kk,kk
Pb,5d,12,-45.25,LT,Litharge,kk