metal,row,numb,WZ,ZB,TN,PD,NB,RS,LT,+2,+3,+4,+5,+6,
Ca,3d,0,,,,,,-144.400,,,,,,,
Sc,3d,1,,,,,,,,,-390.000,,,,
Ti,3d,2,,,,,,-116.920,,,-342.310,-212.330,,,
V,3d,3,,,,,,,,-94.500,-271.000,-159.000,-344.000,,
Cr,3d,4,,,,,,-83.810,,,-250.200,-129.000,,,
Mn,3d,5,,,,,,-86.800,,,-212.300,-111.100,,,
Fe,3d,6,,,,,,-58.880,,,-177.100,,,,
Co,3d,7,,,,,,-49.000,,,-115.130,-51.840,,,
Ni,3d,8,,,,,,-51.300,,,-112.270,-51.420,,,
Cu,3d,9,,,-30.400,,,,,,,,,,
Zn,3d,10,-75.687,,,,,,,,,,,,
Ga,3d,11,,,,,,,,,-237.200,,,,
Ge,3d,12,,,,,,,,-69.900,,-136.100,,,
Sr,4d,0,,,,,,-133.800,,,,-139.000,,,
Y,4d,1,,,,,,,,,-402.000,,,,
Zr,4d,2,,,,,,,,,,-247.700,,,
Nb,4d,3,,,,,-90.500,,,,,-176.000,-422.000,,
Mo,4d,4,,,,,,,,,,-120.000,,,
Tc,4d,5,,,,,,,,,,-88.290,,,
Ru,4d,6,,,,,,,,,-67.930,-40.700,,,
Rh,4d,7,,,,,,,,-18.000,-52.500,-15.000,,,
Pd,4d,8,,,,-14.400,,,,,,-12.820,,,
Ag,4d,9,,,,2.600,,,,,,,,,
Cd,4d,10,,,,,,-53.790,,,,,,,
In,4d,11,,,,,,,,,-196.400,,,,
Sn,4d,12,,,,,,,-61.500,,,-123.200,,,
Ba,5d,0,,,,,,,,-126.300,,,,,
La,5d,1,,,,,,,,,-456.330,,,,
Hf,5d,2,,,,,,,,,,-252.200,,,
Ta,5d,3,,,,,,,,,,,-456.500,,
W,5d,4,,,,,,,,,,-124.400,-306.900,-182.470,
Re,5d,5,,,,,,,,,,-89.000,,-127.300,
Os,5d,6,,,,,,,,,,-50.000,,,
Ir,5d,7,,,,,,,,,-42.300,-28.000,,,
Pt,5d,8,,,,-11.510,,,,,,-20.000,,,
Au,5d,9,,,,,,,,,,48.000,,,
Hg,5d,10,,,,,,,,-13.990,,,,,
Tl,5d,11,,,,,,,,,-63.000,,,,
Pb,5d,12,,,,,,,-45.250,,,-52.340,,,